FarmerID,State,Gender,Age,Crop,FarmSize_Ha,Yield_Tons,AnnualRevenue_NGN,FertilizerUsed,LoanAmount_NGN
F0089,Kogi,female,,Soybean,,,,Yes,959774
F0090,Oyo,Female,,Maize,10.69,,,Yes,
F0091,Kano,Male,45,Soybean,,,11290957,No,
F0092,Kano,Male,,Sorghum,,40.69,,No,
F0093,Nasarawa,Male,,Yam,,77.97,,Yes,
F0094,Benue,Male,40,Cassava,,52.66,2430261,Yes,4450011
F0095,Enugu,Male,,Sorghum,,47.78,2660197,,417438
F0096,Lagos,Female,,Rice,10.65,60.44,,Yes,
F0097,Benue,Male,,Maize,,75.64,,Yes,2752489
,Kano,Female,29,Maize,13.55,,,Yes,3659275
F0099,Kano,,,Maize,,,,Yes,2724352
F0100,Kogi,Female,,Soybean,2.66,,8840632,No,
F0101,,Female,,Rice,13.5,,5940476,No,862386
F0102,Kaduna,Male,,Rice,,,,Yes,
F0103,Enugu,female,,Maize,9.12,,680944,Yes,2408176
F0104,Kano,Male,,Maize,,76.35,7595279,Yes,3989865
F0105,Enugu,Male,,Rice,12.86,,7422274,Yes,
F0106,,Male,,Maize,,,,Yes,2113893
F0107,Kogi,female,,Sorghum,,53.04,10033135,Yes,
F0108,Nasarawa,,,Rice,,40.78,,No,
F0109,Enugu,Female,32,Cassava,2.39,40.71,,,
F0110,Kaduna,,,Cassava,18.17,32.99,,No,1962958
F0111,,,48,Soybean,,,,No,
F0112,Oyo,,56,Sorghum,,69.95,11985327,Yes,703595
F0113,Borno,Female,,Rice,23.69,,,Yes,
F0114,Kano,Male,32,Soybean,,52.07,2358538,Yes,3963239
F0115,Enugu,Female,57,Rice,0.97,,,No,2526239
F0116,Rivers,female,,Rice,,47.82,10652444,No,
,Nasarawa,Female,,Cassava,16.78,,1185470,No,3943778
F0118,Nasarawa,Male,65,Soybean,,19.44,,No,
F0119,Lagos,Female,,Rice,,50.61,,Yes,2461574
F0120,Oyo,Male,,Maize,,37.98,12688124,Yes,2994516
F0121,Nasarawa,Male,,Maize,,,5738090,No,
F0122,Borno,Male,69,Maize,,79.61,,Yes,860653
F0123,Benue,Male,,Maize,,28.25,,,
F0124,,Male,,Maize,,54.42,,Yes,1058894
F0125,Lagos,Male,,Maize,,,,Yes,4814404
F0126,Rivers,Male,,Yam,24.03,,,,
F0127,Kano,Female,,Sorghum,,16.17,14358050,No,
F0128,,female,,Soybean,,,14333485,No,3032416
F0129,Oyo,,26,Rice,,,13533206,,723227
F0130,Kano,female,,Maize,,,10826653,No,
F0131,,Male,,Cassava,19.31,34.72,13998423,,
F0132,Nasarawa,female,,Sorghum,,,,,4475138
F0133,Kaduna,Male,55,Cassava,,,14185307,Yes,681346
F0134,,Male,,Yam,,49.53,,Yes,4051234
F0135,Lagos,Female,,Rice,17.37,,7842046,Yes,
F0136,Nasarawa,female,,Maize,,41.3,5403876,No,
F0137,Kaduna,Male,,Maize,,20.01,,,2623242
F0138,Enugu,Male,,Sorghum,12.69,,4088756,,2960298
F0139,Enugu,Male,,Rice,7.5,,,Yes,
F0140,Lagos,Male,53,Soybean,14.05,,,,996659
F0141,Rivers,Male,,Soybean,19,,8439915,Yes,326434
F0142,,Female,,Cassava,,,,,
F0143,Borno,Male,,Sorghum,12.13,29.59,,Yes,
F0144,,,,Yam,,,2529264,Yes,4803067
F0145,Enugu,Male,44,Maize,,,14693451,No,4351030
F0146,Lagos,Female,,Soybean,,,,Yes,4061597
F0147,Benue,Male,37,Sorghum,,,,Yes,
F0148,Kogi,female,,Maize,20.55,,12031302,Yes,
F0149,Oyo,Female,,Sorghum,,21.88,10379346,No,425851
F0150,Lagos,Male,,Rice,2.96,0.61,,No,
F0151,Lagos,Male,67,Yam,,68.06,,No,
F0152,Kaduna,female,,Maize,,,,,
F0153,Kaduna,,,Sorghum,5.22,,,No,
F0154,Kogi,female,66,Cassava,,,,Yes,3362432
F0155,Kaduna,Female,38,Maize,6.89,,,,4805643
F0156,Nasarawa,female,33,Rice,11.9,,11631150,Yes,3083181
F0157,Kaduna,Female,,Soybean,,73.04,12831883,,
F0158,Nasarawa,Male,54,Maize,,16.33,,,3706427
F0159,Kano,Male,49,Rice,,,7713806,,
F0160,Rivers,Male,70,Yam,14.67,34.01,9129216,Yes,3960020
F0161,Kaduna,,,Maize,,,6352286,,
F0162,Borno,Female,51,Yam,20.95,,,,3181601
F0163,Nasarawa,Female,35,Rice,,33.66,4087710,Yes,846382
F0164,Lagos,female,73,Yam,,35.23,12706491,No,
F0165,Kano,Male,,Soybean,6.3,78.86,,Yes,511349
F0166,Rivers,Male,49,Soybean,,,,No,
F0167,,Male,48,Yam,,,,No,4674860
F0168,Benue,Female,,Rice,,7.58,,No,331748
F0169,,Male,,Yam,,24.39,3603544,Yes,4017479
F0170,Kano,Female,43,Soybean,,,,Yes,
F0171,,female,,Yam,,3.85,12486151,Yes,
F0172,Oyo,Male,,Yam,,,,No,3865713
F0173,Nasarawa,Female,,Rice,,79.23,8840328,Yes,406968
F0174,Lagos,Female,,Cassava,,36.59,,No,131967
F0175,Rivers,Male,,Sorghum,,,13575249,Yes,807939
F0176,Kogi,Male,,Sorghum,19.98,,7750704,No,2516369
F0177,Lagos,,20,Maize,,38.19,11841784,Yes,
F0178,Nasarawa,Male,72,Maize,,,4598220,Yes,2351939
F0179,Nasarawa,Male,,Cassava,,65.71,5071033,,
F0180,Borno,Male,,Cassava,,,950876,No,1947365
F0181,,Male,,Soybean,,,8280960,Yes,
F0182,Lagos,Male,,Rice,,63.88,,No,3187670
F0183,Nasarawa,Male,24,Maize,,,1765158,Yes,
F0184,Borno,Male,44,Maize,,,,Yes,
F0185,Kano,female,,Yam,14.51,54.89,,Yes,
F0186,Kaduna,Female,,Sorghum,12.36,29.02,,,
F0187,Benue,Male,,Maize,,,13731408,Yes,2689934
F0188,Kaduna,Female,,Rice,24.21,,,Yes,955360
F0189,Borno,Female,,Maize,,75.45,,Yes,
F0190,Benue,Female,,Cassava,,,,,
F0191,,Male,,Rice,3.18,,2840696,,
F0192,Rivers,Male,18,Sorghum,,41.6,,No,3884455
F0193,Lagos,Female,,Maize,23.05,9.46,,Yes,3819606
F0194,Nasarawa,Female,,Rice,,3.77,,Yes,1378702
F0195,Borno,Female,,Maize,23.98,63.86,,No,244882
F0196,Rivers,Female,,Yam,,64.74,9736290,,
F0197,Enugu,Male,,Rice,,,,,
F0198,Enugu,Male,,Sorghum,,6.96,5304384,No,2561713
F0199,Kano,Female,,Maize,,30.82,8214971,,
F0200,Kaduna,Male,,Maize,21.71,38.87,,,
F0201,Enugu,Female,,Rice,,2.66,4950455,Yes,
F0202,Enugu,Male,,Rice,,,9143978,No,4583143
F0203,Kano,female,,Yam,7.79,,14515309,No,984705
F0204,Kano,Male,,Maize,4.57,62.83,13563049,,
F0205,Kaduna,Male,,Sorghum,,78.84,,Yes,2326358
F0206,Kaduna,Female,,Soybean,,31.54,,No,
F0207,,,,Sorghum,,,5541002,Yes,
F0208,,Male,43,Maize,,,5716591,,
F0209,,Male,20,Rice,0.9,35.41,7227281,No,2532231
F0210,Benue,Male,,Sorghum,,72.32,,Yes,
F0211,Kano,Male,18,Rice,,,205809,Yes,
F0212,Enugu,Male,,Rice,18.4,,,No,3210496
F0213,Lagos,Female,,Maize,15.45,35.32,10587434,No,3710984
F0214,Kano,Female,66,Maize,,25.3,,Yes,
F0215,Kano,Male,,Sorghum,,,5008372,No,
F0216,Enugu,female,56,Maize,,,6180603,No,612299
F0217,Lagos,Male,31,Maize,,,,Yes,4501031
F0218,Benue,Male,50,Cassava,,47,,No,485750
F0219,Rivers,Male,,Maize,,52.71,2053921,No,95215
F0220,Nasarawa,Male,,Sorghum,4.59,,12346622,Yes,
F0221,Kano,Male,,Rice,,,14467664,Yes,
F0222,Kogi,female,64,Yam,18.65,3.71,4152892,No,
F0223,Kaduna,,,Maize,6,,4600953,,3127341
F0224,Lagos,Female,,Maize,23.87,,,Yes,
,Oyo,Male,,Yam,,77.75,12338695,No,
,Borno,Male,,Maize,23.8,,,Yes,1721295
F0227,Lagos,Female,,Rice,1.58,,,No,712213
F0228,Lagos,,43,Maize,11.16,,,No,
F0229,Oyo,Male,30,Rice,4.31,,6870148,,3005532
F0230,Enugu,Male,72,Rice,,24.48,,No,765149
F0231,Rivers,Male,,Sorghum,6.87,,,,4614748
F0232,Kano,,68,Rice,0.79,,6295146,,
F0233,Kano,Male,22,Rice,20.33,,2105673,No,424779
F0234,Rivers,,,Rice,,,3652338,Yes,
F0235,Lagos,Male,,Yam,,,1073059,Yes,3212965
F0236,Lagos,,51,Maize,,,,No,2268578
,Kogi,Female,,Maize,,42.45,2728059,No,
F0238,,female,21,Maize,9.19,,,,
F0239,Kogi,Female,54,Rice,13.78,39.34,992342,,1835502
F0240,Lagos,Male,57,Cassava,8.85,,1049183,No,4920834
F0241,Borno,,41,Soybean,,31.77,,Yes,1144639
F0242,Rivers,,,Soybean,,,3795298,No,
F0243,Kano,Male,,Maize,,,13619528,,
F0244,Kano,Male,,Soybean,4.61,,7543206,Yes,1758959
F0245,Nasarawa,Male,68,Maize,,58.66,,No,
F0246,Kano,,,Yam,4.49,63.98,4997745,Yes,2190497
F0247,Kaduna,Female,,Rice,13.9,,11869626,No,
F0248,Kano,Male,31,Maize,,,,Yes,1992699
F0249,Kogi,Male,,Cassava,1.84,,,No,813585
F0250,Lagos,Male,,Rice,,,,No,
F0251,Enugu,Male,,Rice,,45.23,12670411,Yes,
F0252,Kogi,Female,53,Maize,,,9658551,No,2506953
F0253,Kano,Male,,Cassava,,14,3604926,No,
F0254,Lagos,Female,,Cassava,,25.72,,,
F0255,Borno,Female,73,Maize,3.26,12.03,1822258,Yes,
F0256,Benue,Female,,Rice,,,,Yes,1992959
F0257,Benue,Male,,Sorghum,,68.69,14627723,No,
F0258,Nasarawa,Male,,Rice,5.1,,,,3136586
F0259,Kaduna,Male,,Maize,,70.37,2964829,No,483414
F0260,Lagos,Male,63,Sorghum,,40.51,11478209,No,
F0261,Kaduna,,,Soybean,,59.97,4832670,No,416503
F0262,,Female,72,Yam,,52.2,14556083,No,1109931
F0263,Lagos,Female,,Sorghum,,,,No,2113918
F0264,Lagos,Male,,Maize,14.82,,,Yes,
F0265,Benue,female,,Sorghum,,24.04,8728746,Yes,
F0266,Kano,Male,,Sorghum,,32.49,9831514,Yes,
F0267,Lagos,Male,,Cassava,,14.65,7948392,Yes,4689497
F0268,Nasarawa,female,23,Soybean,,,,,
F0269,Enugu,Male,,Rice,12.07,,,No,453504
F0270,Oyo,Male,,Rice,,14.59,,No,2629107
,Benue,Female,66,Cassava,12.49,,,No,
F0272,Lagos,Male,,Soybean,,60.6,350582,No,
F0273,Kano,Female,,Sorghum,4.59,,,No,
F0274,Enugu,Male,66,Cassava,,1.73,12249868,No,183821
F0275,Kano,female,68,Maize,,61.75,10014392,Yes,165605
F0276,Rivers,Female,42,Sorghum,12.12,16.6,,Yes,
F0277,Kano,Female,44,Rice,7.43,39.92,,,
F0278,Benue,Female,,Rice,,,3984345,Yes,746609
F0279,Lagos,Female,27,Rice,18.23,72.4,,Yes,3894640
F0280,Kaduna,,,Soybean,,34.19,1643809,Yes,1160936
F0281,Enugu,Male,,Rice,,,,Yes,
F0282,Lagos,,28,Cassava,17.56,78.53,,,
F0283,Rivers,,,Maize,,77.88,,Yes,
F0284,Benue,female,38,Yam,,69.88,7311982,No,
F0285,Borno,Male,21,Cassava,,68.18,,Yes,
F0286,Lagos,Male,,Maize,10.38,,,Yes,
F0287,Enugu,female,59,Rice,10.38,44.66,13906449,,2555152
F0288,Enugu,Male,41,Yam,,,,No,956497
F0289,Oyo,Male,,Sorghum,,56.23,,No,3432708
F0290,Oyo,Female,,Yam,11.7,57.4,,Yes,4939305
F0291,Enugu,Female,,Cassava,24.11,42.52,,,4051126
F0292,Kaduna,female,70,Rice,,,,No,
F0293,Nasarawa,Male,46,Cassava,,,,,1823201
F0294,Kano,Male,,Cassava,,78.02,,Yes,
F0295,Lagos,female,,Sorghum,,64.7,,No,445141
F0296,,,,Sorghum,4.09,,3472567,Yes,3796637
F0297,Lagos,female,53,Maize,,23.15,,No,2622731
,Benue,Female,,Yam,,,12718605,No,
F0299,Lagos,Male,29,Rice,,,2232154,,2139230
F0300,Kano,Female,20,Soybean,,,,Yes,2666394
F0301,Borno,Male,,Cassava,,,3761087,Yes,
F0302,,Male,,Maize,,35.76,,No,
F0303,Kano,Male,,Soybean,,35.76,5023336,Yes,4310861
F0304,Kaduna,,,Maize,15.86,53.69,,Yes,
F0305,Kano,female,61,Maize,,3.22,960467,Yes,4681549
F0306,Oyo,Male,,Rice,,,11346078,,49483
F0307,Kogi,Male,62,Soybean,23.24,,10226486,Yes,
F0308,Lagos,Male,48,Yam,,,10687521,Yes,3130045
F0309,Borno,Female,25,Maize,,43.06,5161869,Yes,
F0310,Borno,Female,28,Yam,,15.71,11307141,,3869372
F0311,Kano,Male,24,Rice,,10.43,,,585599
F0312,Enugu,Male,,Sorghum,17.49,,,No,1414650
F0313,,Female,,Maize,,,,No,
F0314,Enugu,Male,24,Rice,21.12,71.33,4466344,Yes,156282
F0315,Kogi,Female,,Yam,,,11020758,Yes,3292514
F0316,Kogi,female,,Cassava,,,8474968,No,1391196
F0317,Kaduna,Male,,Cassava,,75.15,,No,
F0318,Lagos,female,,Soybean,,70.55,,Yes,
F0319,Benue,Male,,Cassava,,29.35,,No,
F0320,Nasarawa,Female,,Maize,12.8,35.3,,No,1260307
F0321,Kogi,female,70,Yam,,,,No,1767512
F0322,Rivers,Male,33,Cassava,14.55,10.95,14995104,Yes,
F0323,Borno,Female,,Maize,,,1488621,No,
F0324,Rivers,Male,,Cassava,,,7657966,No,
F0325,Lagos,Female,,Maize,,,10363762,,4222231
F0326,Lagos,Female,,Maize,,,6263902,,3598345
F0327,Enugu,,,Soybean,,72.65,7188527,Yes,4002550
F0328,Kano,Male,,Maize,6.82,56.79,9747015,,
F0329,Kano,,,Soybean,,,,,
F0330,Rivers,,,Rice,,,,No,1158202
F0331,Enugu,,62,Rice,,62.93,,Yes,764106
F0332,Kogi,Female,23,Sorghum,5.93,,,,482034
F0333,Enugu,Male,,Sorghum,,40.94,10371175,Yes,3017717
F0334,Kaduna,Male,,Soybean,,46.97,12413558,Yes,
F0335,Borno,Male,,Sorghum,6.04,,9695334,Yes,
F0336,Borno,Male,,Soybean,,,,No,
F0337,,Male,,Rice,22.46,,,No,
F0338,Nasarawa,Male,52,Sorghum,6.58,,1325551,No,
F0339,Kogi,Male,,Yam,12.73,18.94,,No,1922732
F0340,Kogi,Male,27,Rice,,,10348307,,
F0341,Nasarawa,Female,,Sorghum,,22.57,12635753,Yes,
F0342,Borno,Male,,Maize,21.58,36.68,,Yes,70620
F0343,Rivers,Male,,Soybean,,,,No,
F0344,Rivers,Female,,Soybean,,22.51,9636664,,1917356
F0345,,Female,,Maize,,12.13,,No,
F0346,Benue,Male,,Maize,,13.23,,No,
F0347,Benue,Male,,Sorghum,,9.87,9728000,Yes,
F0348,Enugu,,,Rice,,37.21,14616946,Yes,
F0349,Kano,Male,,Yam,,,,Yes,
F0350,Borno,Female,44,Cassava,21.43,,12530157,No,
F0351,Kano,Female,53,Maize,,61.25,,,1302535
F0352,Rivers,Male,32,Sorghum,11.36,10.68,529346,Yes,
F0353,Borno,Male,,Cassava,,,,,
F0354,Enugu,Male,32,Rice,,,227097,,
F0355,Borno,Male,,Rice,,63.88,13417538,,3134352
F0356,Borno,Female,43,Cassava,,,,Yes,3542000
F0357,,Male,,Sorghum,,,6977377,Yes,1530142
F0358,Lagos,Female,,Sorghum,,15.19,2602641,,185647
F0359,Benue,Male,,Rice,18.31,7.4,8330890,Yes,
F0360,Enugu,Male,,Maize,8.59,,,No,
F0361,Lagos,Male,,Yam,,19.92,,Yes,4371631
F0362,Lagos,Male,38,Maize,,,,No,3023477
F0363,Oyo,Male,,Maize,8.45,63.59,6690561,Yes,
F0364,Kaduna,Male,67,Yam,4.36,,12793304,Yes,2982298
F0365,,Male,,Yam,,,,No,
F0366,Kaduna,Male,75,Rice,,,3233910,,
F0367,Benue,,,Cassava,2.19,,,No,
F0368,Lagos,Male,,Yam,8.36,,,,
F0369,Lagos,Male,25,Rice,1.57,14.46,3440323,No,1607396
F0370,Lagos,,,Rice,,47.31,6196400,,594533
F0371,Oyo,female,49,Rice,20.12,,,Yes,2229823
F0372,Benue,Male,,Rice,2.98,42.63,3290006,,
F0373,,female,,Rice,,70.65,13345299,,
F0374,Borno,Male,,Soybean,,,,Yes,2019327
F0375,Borno,female,,Rice,,0.22,4822818,,
,Oyo,Female,,Maize,,65.82,1631875,No,2983456
F0377,Nasarawa,Male,33,Sorghum,20.37,45.72,12368938,Yes,4047781
F0378,Kano,female,54,Sorghum,,30.65,,Yes,
F0379,Kano,,67,Maize,,,8847692,Yes,4529258
F0380,Kano,Female,27,Maize,,46.11,,Yes,3307816
F0381,Kano,Female,,Maize,,,13032631,No,4034270
F0382,Lagos,Male,,Yam,,,11537996,Yes,
F0383,Oyo,Male,,Maize,19.36,,10505261,No,376460
F0384,Nasarawa,Female,,Rice,3.25,19.6,,Yes,2879568
F0385,Enugu,Male,39,Yam,,,10502910,Yes,3159205
F0386,Lagos,Male,,Sorghum,,75.63,,Yes,905058
F0387,Lagos,Female,,Rice,,69.37,3177564,,3841867
F0388,Borno,Male,,Maize,18.74,,,No,
F0389,Lagos,Male,,Maize,,,6640872,Yes,3206185
F0390,Kogi,Female,,Soybean,11.5,16.7,9798077,No,2592066
F0391,,Female,,Cassava,,42.73,,No,
F0392,Rivers,Female,,Sorghum,4.22,8.72,,,4756702
F0393,Oyo,female,,Rice,,,,No,
F0394,Kaduna,Female,32,Maize,19.23,,3783840,No,554791
F0395,Enugu,,,Soybean,21.74,34.32,,Yes,3306375
F0396,Enugu,Female,70,Yam,,78.71,,,413520
F0397,Rivers,Male,,Rice,,49.13,11625489,No,3789118
F0398,Kano,Female,,Cassava,,36.18,7661499,No,
F0399,Lagos,female,68,Rice,,,,,
F0400,Lagos,,,Cassava,4.47,14.47,,Yes,
F0401,Kano,Female,30,Sorghum,,68.46,,No,
F0402,Enugu,Male,,Maize,,22.39,870721,No,
F0403,Lagos,female,,Sorghum,8.61,,3040511,Yes,4990961
F0404,Kano,Male,41,Rice,,,13811758,No,4617686
F0405,Kaduna,Male,,Soybean,,16.95,10318557,Yes,4792974
F0406,Kano,Male,,Sorghum,,,,,
F0407,Kogi,Female,,Yam,0.54,37.3,12422666,,
F0408,Nasarawa,Male,,Yam,0.78,,13307280,Yes,
F0409,Kano,female,,Maize,,76.82,,Yes,
F0410,Lagos,Female,48,Rice,,,,Yes,
F0411,Lagos,Male,,Maize,,,1160870,Yes,
F0412,Lagos,Male,71,Maize,5.09,,,Yes,
F0413,Oyo,Male,,Yam,13.36,9.16,13099157,Yes,3722646
F0414,Borno,Female,,Rice,,,2454091,,1113312
F0415,Enugu,Female,,Rice,0.6,55.03,,Yes,
,,Male,58,Soybean,,,,Yes,2287189
F0417,Kano,Male,,Rice,,,,,2053741
F0418,Kogi,Male,,Maize,,72.28,,Yes,
F0419,Kano,Male,,Rice,,26.72,12010455,No,4762961
F0420,,female,47,Rice,,,7944449,No,
F0421,Rivers,Female,,Soybean,,36.37,,Yes,
F0422,Kaduna,Male,,Cassava,,65.44,5517186,Yes,
F0423,Rivers,Female,57,Cassava,,5.47,,No,
F0424,Oyo,Female,,Rice,,,,Yes,4656413
F0425,Kaduna,Male,43,Rice,,,,Yes,759445
F0426,Kogi,,58,Cassava,,,,No,
F0427,,female,,Soybean,,,14270984,Yes,
F0428,Lagos,Male,,Soybean,,69.28,,Yes,
F0429,Borno,Female,60,Rice,,,,No,2419869
F0430,Kano,female,19,Rice,16.62,,,,3571065
F0431,Rivers,Male,,Maize,9.21,34.1,,No,
F0432,Borno,Male,41,Maize,,,11634621,No,
F0433,Kano,Male,,Rice,,59.39,,,
F0434,Lagos,Female,,Rice,,,4902112,Yes,
F0435,Enugu,Male,,Maize,,64.75,,Yes,1063854
F0436,Benue,Male,,Sorghum,,1.33,10180444,,
F0437,Kaduna,Male,,Yam,,,1466021,,
F0438,Rivers,,42,Rice,18.29,,,Yes,440596
F0439,Enugu,Male,,Yam,,,,Yes,
F0440,Nasarawa,Male,61,Rice,,,,Yes,
F0441,Benue,female,,Rice,,19.5,,No,2627897
F0442,Kano,Male,44,Rice,,,4276115,Yes,198813
F0443,Kogi,female,75,Rice,17.85,7.09,6357535,Yes,
F0444,Lagos,Male,,Sorghum,,,4367391,Yes,2326055
F0445,Nasarawa,Male,,Cassava,,78.36,,No,4127675
F0446,,Female,,Rice,,20.87,1273386,,
,Enugu,Female,,Maize,,31.36,,No,4820431
F0448,,Female,,Maize,21.18,43.3,,Yes,
F0449,Benue,Female,,Rice,,,,No,1481581
F0450,Lagos,Female,,Maize,,,,No,1173926
F0451,Kano,Male,,Maize,,,,Yes,
F0452,,female,,Rice,,,11426258,,1954425
F0453,Kaduna,Female,59,Rice,,3.85,291008,Yes,2578132
F0454,Kaduna,,55,Rice,,63.97,1108811,No,
F0455,Lagos,Male,52,Soybean,20.99,61.19,5678818,Yes,2297584
F0456,Kaduna,female,,Cassava,,3.45,,No,
F0457,Lagos,Female,,Sorghum,,55.45,,,
F0458,Kaduna,Male,62,Cassava,,,,Yes,4678413
F0459,Borno,Male,,Yam,,,940350,Yes,
F0460,Kaduna,female,20,Soybean,,,776746,Yes,4507707
F0461,Lagos,Female,50,Rice,,,7080765,Yes,1929910
F0462,Kano,Female,,Yam,9.7,,,No,
F0463,Nasarawa,Female,,Yam,,16.34,588457,Yes,1145057
F0464,Enugu,Female,,Yam,,12.71,9749268,Yes,
F0465,Oyo,Male,,Sorghum,,58.95,,No,4860921
F0466,Kogi,Female,54,Maize,24.51,79.3,,No,
F0467,Kano,Male,66,Maize,23.77,28.8,10915599,Yes,
F0468,Enugu,,,Maize,,,,No,11439
F0469,Kano,Male,51,Sorghum,,55.9,13265276,,2816011
F0470,Lagos,Male,74,Rice,,,6197725,,562086
F0471,Nasarawa,Female,52,Rice,,69.72,12686154,Yes,
F0472,Rivers,Male,21,Soybean,,40.22,,No,3088231
F0473,Enugu,Male,,Cassava,7.57,,1929460,No,1262469
F0474,Lagos,Male,,Cassava,,35.62,4940840,Yes,184856
F0475,Borno,female,,Soybean,,,,,
F0476,Benue,Female,,Sorghum,19.36,,7699177,,
F0477,Kaduna,,,Cassava,4.45,,9688932,No,
