FarmerID,State,Gender,Age,Crop,FarmSize_Ha,Yield_Tons,AnnualRevenue_NGN,FertilizerUsed,LoanAmount_NGN
F0046,KANO,Female,N/A,Yam,,68.05,13408475,Y,
F0047,Kano,male,,Maize,,,,No,3653130
F0048,lagos,M,N/A, Rice,unknown,,14339375,Yes,
F0049,Enugu,male,N/A,maize ,,68.11,8229730,Y,
F0050,Kogi,female,,Maize,13.16,,8246976,N,
F0051,Kano,M,,Yam,unknown,,,Y,
F0052,Oyo,Male,64,Soybean,unknown,76.08,3263524,N,
F0053,Oyo,M,,Cassava,unknown,,813626,,2450619
F0054,,F,24,Sorghum,,27.39,,Yes,
F0055,Kogi,female,61,Cassava,unknown,75.94,4213953,,3491120
F0056,Rivers,F,,maize ,unknown,5.01,12846605,No,2220012
F0057,Kaduna,male,22,Maize,unknown,,597605,Y,
F0058,Oyo,M,N/A,Yam,unknown,18.14,4506573,Yes,500280
F0059,Kogi,female,N/A,Sorghum,,,,N,674795
F0060,KANO,M,,Maize,unknown,66.91,,,337487
F0061,lagos,F,35,maize ,,,,Y,2693231
F0062,Nasarawa,F,,Sorghum,,65.12,7680712,Y,
F0063,,F,N/A,Maize,unknown,37.07,,,
F0064,Oyo,M,53,Sorghum,unknown,38.88,10620019,No,2606761
F0065,Kano,Female,71, Rice,unknown,,,,
F0066,Enugu,Female,N/A,Cassava,unknown,40.76,14545966,Y,
F0067,Borno,M,70,Sorghum,unknown,,14566663,N,
F0068,Borno,,, Rice,23.35,78.47,,No,3445831
F0069,Enugu,female,,maize ,unknown,,671086,,
F0070,Enugu,Male,,Maize,,69.7,,Y,
F0071,Nasarawa,,N/A,maize ,unknown,,14686158,,573954
F0072,Benue,Female,65,maize ,unknown,56.37,7493690,Y,242827
F0073,Lagos,M,,maize ,unknown,33.08,2901852,Yes,3209014
F0074,Kogi,Female,,Sorghum,unknown,,4875658,Yes,
F0075,Benue,female,N/A,Sorghum,,,,Yes,
F0076,Kogi,M,,Maize,unknown,31.79,9544713,,
F0077,Oyo,male,,Yam,unknown,20.2,10590254,Yes,
F0078,Nasarawa,female,26,Sorghum,,14.22,,,
F0079,Benue,,,Soybean,,77.04,12702562,N,
F0080,Rivers,Male,N/A,Rice,unknown,,,Y,908872
F0081,Kogi,male,N/A,Yam,unknown,,,Yes,1172534
F0082,Benue,F,25,Yam,22.24,,,,
F0083,Enugu,male,,Maize,17.41,35.58,,Yes,
F0084,Benue,Female,,Rice,unknown,51.23,,No,1056326
F0085,,male,N/A,Yam,20.42,26.42,13281246,Y,1213730
F0086,,Female,N/A,Maize,,63.24,,Yes,
F0087,KANO,F,51,Rice,,41.16,7633392,,
F0088,Lagos,Male,,maize ,,,1282969,Y,1244314
F0089,Kogi,female,N/A,Soybean,unknown,,,Yes,959774
F0090,Oyo,F,,maize ,10.69,,,Y,
F0091,Kano,Male,45,Soybean,unknown,,11290957,N,
F0092,KANO,Male,N/A,Sorghum,unknown,40.69,,No,
F0093,Nasarawa,Male,,Yam,unknown,77.97,,Yes,
F0094,Benue,M,40,Cassava,unknown,52.66,2430261,Yes,4450011
F0095,Enugu,M,,Sorghum,unknown,47.78,2660197,,417438
F0096,lagos,F,N/A, Rice,10.65,60.44,,Yes,
F0097,Benue,Male,,Maize,,75.64,,Y,2752489
,KANO,F,29,maize ,13.55,,,Yes,3659275
F0099,Kano,,N/A,maize ,unknown,,,Yes,2724352
F0100,Kogi,F,N/A,Soybean,2.66,,8840632,N,
F0101,,Female,N/A,Rice,13.5,,5940476,No,862386
F0102,Kaduna,male,N/A,Rice,unknown,,,Y,
F0103,Enugu,female,,Maize,9.12,,680944,Y,2408176
F0104,Kano,male,N/A,maize ,unknown,76.35,7595279,Y,3989865
F0105,Enugu,Male,,Rice,12.86,,7422274,Y,
F0106,,M,N/A,Maize,unknown,,,Y,2113893
F0107,Kogi,female,,Sorghum,unknown,53.04,10033135,Y,
F0108,Nasarawa,,N/A,Rice,,40.78,,No,
F0109,Enugu,Female,32,Cassava,2.39,40.71,,,
F0110,Kaduna,,N/A,Cassava,18.17,32.99,,N,1962958
F0111,,,48,Soybean,unknown,,,N,
F0112,Oyo,,56,Sorghum,,69.95,11985327,Y,703595
F0113,Borno,Female,,Rice,23.69,,,Yes,
F0114,Kano,M,32,Soybean,unknown,52.07,2358538,Y,3963239
F0115,Enugu,F,57,Rice,0.97,,,No,2526239
F0116,Rivers,female,N/A, Rice,,47.82,10652444,No,
,Nasarawa,Female,,Cassava,16.78,,1185470,N,3943778
F0118,Nasarawa,M,65,Soybean,,19.44,,No,
F0119,lagos,Female,N/A, Rice,,50.61,,Yes,2461574
F0120,Oyo,Male,,maize ,unknown,37.98,12688124,Y,2994516
F0121,Nasarawa,M,,maize ,unknown,,5738090,N,
F0122,Borno,M,69,maize ,unknown,79.61,,Y,860653
F0123,Benue,M,N/A,maize ,,28.25,,,
F0124,,Male,N/A,maize ,unknown,54.42,,Yes,1058894
F0125,lagos,M,,Maize,unknown,,,Yes,4814404
F0126,Rivers,M,,Yam,24.03,,,,
F0127,KANO,F,N/A,Sorghum,,16.17,14358050,N,
F0128,,female,,Soybean,unknown,,14333485,No,3032416
F0129,Oyo,,26, Rice,unknown,,13533206,,723227
F0130,KANO,female,N/A,maize ,unknown,,10826653,N,
F0131,,male,N/A,Cassava,19.31,34.72,13998423,,
F0132,Nasarawa,female,,Sorghum,,,,,4475138
F0133,Kaduna,male,55,Cassava,unknown,,14185307,Yes,681346
F0134,,male,N/A,Yam,,49.53,,Y,4051234
F0135,lagos,F,,Rice,17.37,,7842046,Y,
F0136,Nasarawa,female,,maize ,,41.3,5403876,N,
F0137,Kaduna,Male,,maize ,,20.01,,,2623242
F0138,Enugu,male,,Sorghum,12.69,,4088756,,2960298
F0139,Enugu,male,N/A, Rice,7.5,,,Y,
F0140,Lagos,male,53,Soybean,14.05,,,,996659
F0141,Rivers,M,,Soybean,19,,8439915,Yes,326434
F0142,,F,,Cassava,unknown,,,,
F0143,Borno,male,N/A,Sorghum,12.13,29.59,,Yes,
F0144,,,N/A,Yam,unknown,,2529264,Yes,4803067
F0145,Enugu,M,44,maize ,,,14693451,No,4351030
F0146,lagos,F,,Soybean,,,,Y,4061597
F0147,Benue,male,37,Sorghum,unknown,,,Y,
F0148,Kogi,female,,maize ,20.55,,12031302,Y,
F0149,Oyo,Female,N/A,Sorghum,unknown,21.88,10379346,No,425851
F0150,Lagos,Male,, Rice,2.96,0.61,,N,
F0151,lagos,Male,67,Yam,unknown,68.06,,No,
F0152,Kaduna,female,,Maize,unknown,,,,
F0153,Kaduna,,,Sorghum,5.22,,,No,
F0154,Kogi,female,66,Cassava,unknown,,,Yes,3362432
F0155,Kaduna,F,38,Maize,6.89,,,,4805643
F0156,Nasarawa,female,33,Rice,11.9,,11631150,Y,3083181
F0157,Kaduna,F,,Soybean,unknown,73.04,12831883,,
F0158,Nasarawa,Male,54,Maize,unknown,16.33,,,3706427
F0159,KANO,male,49, Rice,,,7713806,,
F0160,Rivers,M,70,Yam,14.67,34.01,9129216,Yes,3960020
F0161,Kaduna,,N/A,maize ,,,6352286,,
F0162,Borno,F,51,Yam,20.95,,,,3181601
F0163,Nasarawa,Female,35,Rice,unknown,33.66,4087710,Yes,846382
F0164,lagos,female,73,Yam,,35.23,12706491,No,
F0165,KANO,male,N/A,Soybean,6.3,78.86,,Y,511349
F0166,Rivers,male,49,Soybean,unknown,,,N,
F0167,,male,48,Yam,unknown,,,N,4674860
F0168,Benue,Female,N/A,Rice,,7.58,,N,331748
F0169,,male,N/A,Yam,,24.39,3603544,Yes,4017479
F0170,KANO,Female,43,Soybean,,,,Y,
F0171,,female,,Yam,,3.85,12486151,Yes,
F0172,Oyo,M,,Yam,unknown,,,N,3865713
F0173,Nasarawa,Female,N/A, Rice,unknown,79.23,8840328,Yes,406968
F0174,lagos,Female,N/A,Cassava,unknown,36.59,,N,131967
F0175,Rivers,Male,N/A,Sorghum,,,13575249,Yes,807939
F0176,Kogi,male,,Sorghum,19.98,,7750704,No,2516369
F0177,lagos,,20,maize ,unknown,38.19,11841784,Yes,
F0178,Nasarawa,male,72,Maize,unknown,,4598220,Yes,2351939
F0179,Nasarawa,Male,N/A,Cassava,unknown,65.71,5071033,,
F0180,Borno,M,N/A,Cassava,unknown,,950876,N,1947365
F0181,,male,,Soybean,,,8280960,Y,
F0182,lagos,male,,Rice,,63.88,,No,3187670
F0183,Nasarawa,M,24,Maize,,,1765158,Yes,
F0184,Borno,male,44,Maize,unknown,,,Yes,
F0185,Kano,female,N/A,Yam,14.51,54.89,,Y,
F0186,Kaduna,F,,Sorghum,12.36,29.02,,,
F0187,Benue,Male,,maize ,,,13731408,Y,2689934
F0188,Kaduna,F,, Rice,24.21,,,Y,955360
F0189,Borno,Female,N/A,Maize,,75.45,,Yes,
F0190,Benue,Female,N/A,Cassava,,,,,
F0191,,M,N/A,Rice,3.18,,2840696,,
F0192,Rivers,Male,18,Sorghum,unknown,41.6,,N,3884455
F0193,Lagos,F,,maize ,23.05,9.46,,Y,3819606
F0194,Nasarawa,F,, Rice,,3.77,,Yes,1378702
F0195,Borno,Female,N/A,maize ,23.98,63.86,,N,244882
F0196,Rivers,F,N/A,Yam,unknown,64.74,9736290,,
F0197,Enugu,Male,N/A, Rice,unknown,,,,
F0198,Enugu,male,N/A,Sorghum,unknown,6.96,5304384,No,2561713
F0199,KANO,Female,,maize ,unknown,30.82,8214971,,
F0200,Kaduna,M,,Maize,21.71,38.87,,,
F0201,Enugu,F,, Rice,unknown,2.66,4950455,Y,
F0202,Enugu,male,,Rice,,,9143978,N,4583143
F0203,Kano,female,N/A,Yam,7.79,,14515309,N,984705
F0204,KANO,male,,maize ,4.57,62.83,13563049,,
F0205,Kaduna,M,,Sorghum,unknown,78.84,,Yes,2326358
F0206,Kaduna,Female,N/A,Soybean,unknown,31.54,,N,
F0207,,,,Sorghum,,,5541002,Yes,
F0208,,male,43,maize ,,,5716591,,
F0209,,Male,20, Rice,0.9,35.41,7227281,No,2532231
F0210,Benue,Male,,Sorghum,unknown,72.32,,Y,
F0211,KANO,Male,18, Rice,unknown,,205809,Y,
F0212,Enugu,Male,,Rice,18.4,,,No,3210496
F0213,lagos,Female,N/A,Maize,15.45,35.32,10587434,N,3710984
F0214,Kano,Female,66,maize ,,25.3,,Yes,
F0215,KANO,Male,N/A,Sorghum,unknown,,5008372,No,
F0216,Enugu,female,56,Maize,,,6180603,N,612299
F0217,Lagos,M,31,Maize,,,,Yes,4501031
F0218,Benue,Male,50,Cassava,,47,,No,485750
F0219,Rivers,Male,N/A,Maize,unknown,52.71,2053921,No,95215
F0220,Nasarawa,male,N/A,Sorghum,4.59,,12346622,Yes,
F0221,Kano,M,N/A,Rice,unknown,,14467664,Y,
F0222,Kogi,female,64,Yam,18.65,3.71,4152892,N,
F0223,Kaduna,,N/A,maize ,6,,4600953,,3127341
F0224,Lagos,Female,N/A,Maize,23.87,,,Y,
,Oyo,M,,Yam,unknown,77.75,12338695,No,
,Borno,M,N/A,Maize,23.8,,,Yes,1721295
F0227,Lagos,Female,,Rice,1.58,,,N,712213
F0228,lagos,,43,Maize,11.16,,,N,
F0229,Oyo,Male,30,Rice,4.31,,6870148,,3005532
F0230,Enugu,M,72,Rice,unknown,24.48,,No,765149
F0231,Rivers,male,N/A,Sorghum,6.87,,,,4614748
F0232,Kano,,68,Rice,0.79,,6295146,,
F0233,Kano,Male,22, Rice,20.33,,2105673,N,424779
F0234,Rivers,,, Rice,unknown,,3652338,Y,
F0235,Lagos,male,N/A,Yam,,,1073059,Y,3212965
F0236,lagos,,51,Maize,unknown,,,N,2268578
,Kogi,Female,,Maize,,42.45,2728059,No,
F0238,,female,21,maize ,9.19,,,,
F0239,Kogi,Female,54, Rice,13.78,39.34,992342,,1835502
F0240,Lagos,M,57,Cassava,8.85,,1049183,No,4920834
F0241,Borno,,41,Soybean,unknown,31.77,,Y,1144639
F0242,Rivers,,,Soybean,unknown,,3795298,N,
F0243,KANO,Male,N/A,maize ,unknown,,13619528,,
F0244,KANO,Male,,Soybean,4.61,,7543206,Y,1758959
F0245,Nasarawa,M,68,Maize,,58.66,,N,
F0246,Kano,,N/A,Yam,4.49,63.98,4997745,Y,2190497
F0247,Kaduna,F,N/A,Rice,13.9,,11869626,N,
F0248,Kano,M,31,maize ,unknown,,,Y,1992699
F0249,Kogi,male,,Cassava,1.84,,,No,813585
F0250,lagos,M,,Rice,,,,No,
F0251,Enugu,Male,, Rice,,45.23,12670411,Yes,
F0252,Kogi,Female,53,maize ,,,9658551,N,2506953
F0253,KANO,Male,N/A,Cassava,,14,3604926,No,
F0254,lagos,F,N/A,Cassava,,25.72,,,
F0255,Borno,F,73,maize ,3.26,12.03,1822258,Y,
F0256,Benue,F,, Rice,,,,Y,1992959
F0257,Benue,M,,Sorghum,,68.69,14627723,No,
F0258,Nasarawa,M,,Rice,5.1,,,,3136586
F0259,Kaduna,Male,N/A,maize ,unknown,70.37,2964829,No,483414
F0260,Lagos,M,63,Sorghum,,40.51,11478209,No,
F0261,Kaduna,,N/A,Soybean,,59.97,4832670,N,416503
F0262,,Female,72,Yam,,52.2,14556083,N,1109931
F0263,Lagos,Female,N/A,Sorghum,unknown,,,N,2113918
F0264,lagos,male,N/A,maize ,14.82,,,Y,
F0265,Benue,female,,Sorghum,unknown,24.04,8728746,Yes,
F0266,KANO,Male,,Sorghum,,32.49,9831514,Y,
F0267,lagos,M,,Cassava,unknown,14.65,7948392,Y,4689497
F0268,Nasarawa,female,23,Soybean,,,,,
F0269,Enugu,Male,N/A,Rice,12.07,,,N,453504
F0270,Oyo,M,N/A, Rice,unknown,14.59,,No,2629107
,Benue,Female,66,Cassava,12.49,,,N,
F0272,Lagos,male,N/A,Soybean,,60.6,350582,No,
F0273,Kano,F,N/A,Sorghum,4.59,,,N,
F0274,Enugu,M,66,Cassava,,1.73,12249868,No,183821
F0275,KANO,female,68,maize ,,61.75,10014392,Yes,165605
F0276,Rivers,F,42,Sorghum,12.12,16.6,,Yes,
F0277,KANO,Female,44,Rice,7.43,39.92,,,
F0278,Benue,Female,N/A, Rice,unknown,,3984345,Yes,746609
F0279,lagos,F,27,Rice,18.23,72.4,,Y,3894640
F0280,Kaduna,,,Soybean,,34.19,1643809,Yes,1160936
F0281,Enugu,male,N/A,Rice,,,,Y,
F0282,lagos,,28,Cassava,17.56,78.53,,,
F0283,Rivers,,N/A,Maize,unknown,77.88,,Yes,
F0284,Benue,female,38,Yam,unknown,69.88,7311982,N,
F0285,Borno,male,21,Cassava,,68.18,,Y,
F0286,Lagos,male,N/A,maize ,10.38,,,Yes,
F0287,Enugu,female,59,Rice,10.38,44.66,13906449,,2555152
F0288,Enugu,M,41,Yam,,,,N,956497
F0289,Oyo,Male,,Sorghum,,56.23,,No,3432708
F0290,Oyo,Female,,Yam,11.7,57.4,,Yes,4939305
F0291,Enugu,F,N/A,Cassava,24.11,42.52,,,4051126
F0292,Kaduna,female,70,Rice,unknown,,,N,
F0293,Nasarawa,M,46,Cassava,unknown,,,,1823201
F0294,KANO,M,,Cassava,unknown,78.02,,Yes,
F0295,lagos,female,N/A,Sorghum,,64.7,,No,445141
F0296,,,,Sorghum,4.09,,3472567,Y,3796637
F0297,lagos,female,53,maize ,unknown,23.15,,N,2622731
,Benue,Female,,Yam,unknown,,12718605,No,
F0299,lagos,Male,29,Rice,,,2232154,,2139230
F0300,KANO,Female,20,Soybean,unknown,,,Yes,2666394
F0301,Borno,Male,N/A,Cassava,unknown,,3761087,Y,
F0302,,male,,Maize,,35.76,,N,
F0303,KANO,M,N/A,Soybean,unknown,35.76,5023336,Y,4310861
F0304,Kaduna,,N/A,Maize,15.86,53.69,,Yes,
F0305,Kano,female,61,Maize,,3.22,960467,Y,4681549
F0306,Oyo,M,, Rice,,,11346078,,49483
F0307,Kogi,Male,62,Soybean,23.24,,10226486,Y,
F0308,lagos,Male,48,Yam,,,10687521,Y,3130045
F0309,Borno,Female,25,Maize,,43.06,5161869,Y,
F0310,Borno,Female,28,Yam,,15.71,11307141,,3869372
F0311,Kano,M,24, Rice,,10.43,,,585599
F0312,Enugu,M,N/A,Sorghum,17.49,,,N,1414650
F0313,,Female,N/A,maize ,,,,N,
F0314,Enugu,male,24,Rice,21.12,71.33,4466344,Yes,156282
F0315,Kogi,F,N/A,Yam,unknown,,11020758,Y,3292514
F0316,Kogi,female,,Cassava,unknown,,8474968,No,1391196
F0317,Kaduna,male,N/A,Cassava,,75.15,,No,
F0318,Lagos,female,N/A,Soybean,,70.55,,Yes,
F0319,Benue,male,N/A,Cassava,,29.35,,N,
F0320,Nasarawa,F,,Maize,12.8,35.3,,No,1260307
F0321,Kogi,female,70,Yam,,,,N,1767512
F0322,Rivers,Male,33,Cassava,14.55,10.95,14995104,Yes,
F0323,Borno,F,N/A,Maize,unknown,,1488621,N,
F0324,Rivers,male,N/A,Cassava,unknown,,7657966,No,
F0325,Lagos,Female,N/A,maize ,unknown,,10363762,,4222231
F0326,lagos,Female,N/A,Maize,unknown,,6263902,,3598345
F0327,Enugu,,,Soybean,unknown,72.65,7188527,Y,4002550
F0328,Kano,M,N/A,maize ,6.82,56.79,9747015,,
F0329,KANO,,,Soybean,,,,,
F0330,Rivers,,, Rice,unknown,,,N,1158202
F0331,Enugu,,62,Rice,,62.93,,Yes,764106
F0332,Kogi,F,23,Sorghum,5.93,,,,482034
F0333,Enugu,Male,N/A,Sorghum,unknown,40.94,10371175,Yes,3017717
F0334,Kaduna,Male,,Soybean,,46.97,12413558,Yes,
F0335,Borno,male,,Sorghum,6.04,,9695334,Y,
F0336,Borno,Male,,Soybean,unknown,,,N,
F0337,,M,, Rice,22.46,,,No,
F0338,Nasarawa,male,52,Sorghum,6.58,,1325551,N,
F0339,Kogi,M,N/A,Yam,12.73,18.94,,No,1922732
F0340,Kogi,M,27,Rice,unknown,,10348307,,
F0341,Nasarawa,F,N/A,Sorghum,unknown,22.57,12635753,Yes,
F0342,Borno,Male,,maize ,21.58,36.68,,Y,70620
F0343,Rivers,male,,Soybean,,,,N,
F0344,Rivers,Female,N/A,Soybean,,22.51,9636664,,1917356
F0345,,Female,,maize ,unknown,12.13,,N,
F0346,Benue,M,N/A,Maize,unknown,13.23,,N,
F0347,Benue,M,N/A,Sorghum,,9.87,9728000,Y,
F0348,Enugu,,,Rice,,37.21,14616946,Y,
F0349,Kano,Male,,Yam,unknown,,,Y,
F0350,Borno,F,44,Cassava,21.43,,12530157,No,
F0351,Kano,F,53,Maize,unknown,61.25,,,1302535
F0352,Rivers,M,32,Sorghum,11.36,10.68,529346,Y,
F0353,Borno,M,,Cassava,unknown,,,,
F0354,Enugu,male,32, Rice,,,227097,,
F0355,Borno,Male,, Rice,,63.88,13417538,,3134352
F0356,Borno,F,43,Cassava,unknown,,,Yes,3542000
F0357,,male,N/A,Sorghum,unknown,,6977377,Yes,1530142
F0358,lagos,F,,Sorghum,,15.19,2602641,,185647
F0359,Benue,M,N/A, Rice,18.31,7.4,8330890,Y,
F0360,Enugu,M,N/A,Maize,8.59,,,No,
F0361,Lagos,Male,N/A,Yam,,19.92,,Yes,4371631
F0362,lagos,M,38,Maize,unknown,,,No,3023477
F0363,Oyo,Male,N/A,maize ,8.45,63.59,6690561,Yes,
F0364,Kaduna,M,67,Yam,4.36,,12793304,Yes,2982298
F0365,,Male,,Yam,unknown,,,No,
F0366,Kaduna,M,75, Rice,unknown,,3233910,,
F0367,Benue,,N/A,Cassava,2.19,,,N,
F0368,Lagos,male,,Yam,8.36,,,,
F0369,lagos,M,25,Rice,1.57,14.46,3440323,N,1607396
F0370,lagos,,N/A, Rice,unknown,47.31,6196400,,594533
F0371,Oyo,female,49, Rice,20.12,,,Yes,2229823
F0372,Benue,Male,N/A,Rice,2.98,42.63,3290006,,
F0373,,female,, Rice,,70.65,13345299,,
F0374,Borno,male,,Soybean,,,,Y,2019327
F0375,Borno,female,, Rice,,0.22,4822818,,
,Oyo,Female,,Maize,unknown,65.82,1631875,N,2983456
F0377,Nasarawa,male,33,Sorghum,20.37,45.72,12368938,Y,4047781
F0378,KANO,female,54,Sorghum,unknown,30.65,,Y,
F0379,Kano,,67,Maize,unknown,,8847692,Y,4529258
F0380,KANO,Female,27,maize ,unknown,46.11,,Y,3307816
F0381,Kano,F,N/A,Maize,,,13032631,No,4034270
F0382,lagos,male,N/A,Yam,,,11537996,Yes,
F0383,Oyo,M,N/A,Maize,19.36,,10505261,N,376460
F0384,Nasarawa,Female,N/A,Rice,3.25,19.6,,Yes,2879568
F0385,Enugu,Male,39,Yam,unknown,,10502910,Yes,3159205
F0386,Lagos,M,N/A,Sorghum,unknown,75.63,,Y,905058
F0387,lagos,F,,Rice,,69.37,3177564,,3841867
F0388,Borno,M,,maize ,18.74,,,No,
F0389,lagos,M,,Maize,,,6640872,Yes,3206185
F0390,Kogi,Female,,Soybean,11.5,16.7,9798077,No,2592066
F0391,,Female,N/A,Cassava,unknown,42.73,,No,
F0392,Rivers,F,,Sorghum,4.22,8.72,,,4756702
F0393,Oyo,female,,Rice,,,,No,
F0394,Kaduna,Female,32,maize ,19.23,,3783840,No,554791
F0395,Enugu,,,Soybean,21.74,34.32,,Y,3306375
F0396,Enugu,F,70,Yam,,78.71,,,413520
F0397,Rivers,M,, Rice,,49.13,11625489,N,3789118
F0398,Kano,Female,N/A,Cassava,,36.18,7661499,N,
F0399,lagos,female,68,Rice,unknown,,,,
F0400,Lagos,,,Cassava,4.47,14.47,,Y,
F0401,Kano,Female,30,Sorghum,,68.46,,No,
F0402,Enugu,Male,N/A,Maize,unknown,22.39,870721,No,
F0403,Lagos,female,N/A,Sorghum,8.61,,3040511,Y,4990961
F0404,KANO,male,41,Rice,,,13811758,N,4617686
F0405,Kaduna,Male,,Soybean,unknown,16.95,10318557,Yes,4792974
F0406,KANO,male,N/A,Sorghum,,,,,
F0407,Kogi,Female,,Yam,0.54,37.3,12422666,,
F0408,Nasarawa,male,N/A,Yam,0.78,,13307280,Y,
F0409,Kano,female,,maize ,unknown,76.82,,Y,
F0410,lagos,Female,48, Rice,unknown,,,Yes,
F0411,lagos,M,N/A,Maize,unknown,,1160870,Y,
F0412,lagos,male,71,maize ,5.09,,,Yes,
F0413,Oyo,M,,Yam,13.36,9.16,13099157,Yes,3722646
F0414,Borno,Female,, Rice,unknown,,2454091,,1113312
F0415,Enugu,F,N/A,Rice,0.6,55.03,,Yes,
,,M,58,Soybean,,,,Yes,2287189
F0417,Kano,Male,N/A,Rice,,,,,2053741
F0418,Kogi,M,,Maize,,72.28,,Yes,
F0419,KANO,male,N/A, Rice,,26.72,12010455,N,4762961
F0420,,female,47, Rice,unknown,,7944449,No,
F0421,Rivers,Female,N/A,Soybean,,36.37,,Yes,
F0422,Kaduna,M,,Cassava,,65.44,5517186,Y,
F0423,Rivers,Female,57,Cassava,,5.47,,N,
F0424,Oyo,Female,N/A,Rice,unknown,,,Y,4656413
F0425,Kaduna,M,43,Rice,unknown,,,Yes,759445
F0426,Kogi,,58,Cassava,,,,No,
F0427,,female,,Soybean,unknown,,14270984,Y,
F0428,Lagos,Male,N/A,Soybean,,69.28,,Y,
F0429,Borno,Female,60, Rice,unknown,,,No,2419869
F0430,Kano,female,19, Rice,16.62,,,,3571065
F0431,Rivers,male,,maize ,9.21,34.1,,No,
F0432,Borno,male,41,Maize,unknown,,11634621,No,
F0433,Kano,male,N/A,Rice,unknown,59.39,,,
F0434,Lagos,F,N/A, Rice,,,4902112,Yes,
F0435,Enugu,male,N/A,Maize,,64.75,,Yes,1063854
F0436,Benue,M,N/A,Sorghum,,1.33,10180444,,
F0437,Kaduna,M,N/A,Yam,unknown,,1466021,,
F0438,Rivers,,42, Rice,18.29,,,Yes,440596
F0439,Enugu,M,N/A,Yam,unknown,,,Yes,
F0440,Nasarawa,male,61,Rice,unknown,,,Y,
F0441,Benue,female,, Rice,unknown,19.5,,No,2627897
F0442,Kano,Male,44,Rice,,,4276115,Yes,198813
F0443,Kogi,female,75,Rice,17.85,7.09,6357535,Yes,
F0444,lagos,Male,,Sorghum,unknown,,4367391,Yes,2326055
F0445,Nasarawa,Male,,Cassava,,78.36,,No,4127675
F0446,,F,N/A,Rice,unknown,20.87,1273386,,
,Enugu,Female,N/A,Maize,unknown,31.36,,N,4820431
F0448,,F,,maize ,21.18,43.3,,Yes,
F0449,Benue,F,N/A,Rice,,,,No,1481581
F0450,lagos,Female,N/A,maize ,unknown,,,No,1173926
F0451,KANO,male,,maize ,unknown,,,Yes,
F0452,,female,,Rice,unknown,,11426258,,1954425
F0453,Kaduna,F,59, Rice,unknown,3.85,291008,Yes,2578132
F0454,Kaduna,,55,Rice,unknown,63.97,1108811,N,
F0455,lagos,male,52,Soybean,20.99,61.19,5678818,Yes,2297584
F0456,Kaduna,female,N/A,Cassava,unknown,3.45,,No,
